Question,Answer
황달을 어떻게 알아요?,"원인에 따라 출생시부터 언제든지 나타날 수 있는데 황달(빌리루빈) 수치가 증가함에 따라 황달은 얼굴에서 시작하여 복부, 발까지 진행됩니다.​피부색이 전보다 노랗게 보이거나, 발바닥, 눈 흰자가 노란색이면 진료가 필요합니다.​"
배꼽은 언제 떨어지나요? 배꼽 관리는 언제까지 하나요?,배꼽은 생후 7일~10일에 떨어집니다. 배꼽에 떨어지고 아물때까지 (분비물이 나오지 않을때까지) 배꼽을 벌려 알코올 솜으로 닦은 뒤 잘 말려주세요. 소독을 잘 했는데도 분비물이 지속적으로 나오면 육아종(분홍색 육아조직)이 의심되므로 진료가 필요합니다.
기저귀 발진이 생겼는데 어떻게 해야하죠?,"물로 씻기고 잘 말려주세요 기저기 발진 크림 약국에서 구입 가능하지만, 발진이 심하면 진료를 먼저 보시는 것이 좋습니다."
변 색이 녹색인데 어떻게 해야하죠?,"녹색변은  담즙이 섞이는 정도에 따라 정상에서도 볼 수 있으며 만약 물설사나 코 같은 것이 섞이는 곱똥을 함께 본다면 진료가 필요하고 검은 짜장면 색(피 섞인 변), 흰 회색 변 등은 진료가 필요합니다."
딸꾹질을 어떻게 멈추게 하나요?,"신생아는 정상적으로 자주하며, 아기가 힘들어 하지 않으면 그냥 두셔도 됩니다.  안아 주시거나, 수유를 하시거나 끓여서 식힌 물을 소량 먹으면 멈추게 됩니다."
아기가 열이 나는지 어떻게 알아요?,신생아는 37.5까지는 정상 체온으로 봅니다. 시원하게 해 주었는데도 37.5이상으로 체온이 지속되면 진료가 필요합니다.
"피부, 손톱 관리는 어떻게 하나요?","피부가 건조하면 보습 크림을  사용하세요. 손톱은 너무 짧지 않게 아기용 가위를 사용하시고 피부에 손상이 가지 않게 세심하게 잘라주세요. 혹, 상처나 피가 나면 감염이 될 수 있으므로 진료를 보세요."
몸무게가 정상인지 어떻게 알죠?,병원에서 받으신 수첩p43 ~p46 참고하세요. 아기가 체중이 늘지 않는것 같다면 진료하여 담당 선생님과 상담하는 것이 좋습니다.
모유만 먹이는데 아기가 잘 먹고 있는지 어떻게 알 수 있나요?,"수유 간격 시간을 확인하시고, 24시간의 소변의 기저귀 횟수가 보통 6장 ~ 10장 정도 나오면 잘 먹고 있다는 증거 입니다. 체중을 측정하는 것이 제일 정확합니다."
트림 꼭 해야 하나요?,트림은 하는 것이 이상적이지만 잘 안될 경우에는 바로 눕히지 마시고  20분 ~ 30분 정도 앉아주시거나 45도 정도 등받이를 해 주세요.
"아기가 계속 울어요, 영아 산통인가요?","영아 산통은 6주 ~ 2개월에 많고 대부분의 아이에게 있으며 평균 1~2시간정도로 비슷한 시간에 보챕니다. 그러나 밤,낮 가리지 않고 이유 없이 보챈다면 다른 문제가 있을 수 있으므로 진료가 필요합니다."
아기가 자주 토해요. 무슨 문제가 있나요?,"아기들은 태어나서 ~ 백일까지 자주 올립니다. 이유는 위식도 괄약근이 미숙하여 수유 후 트림할 때, 기저귀 갈 때, 아기가 힘줄 때, 움직임이 심해질 때의 경우 더욱 잘 올리게 됩니다. 그러나 먹은 양이 다 나올 정도로 매번 올린다면 진료를 보세요."
눈동자 움직임이 이상한데요. 사시 일까요?,"신생아의 경우 눈동자의 움직임이 서로 다르게 움직이는 경우도 있고, 가성 사시도 있을 수 있습니다. 그러나 눈 맞춤이 가능한 시기에 눈이 따로 움직이는 것을 보시면 바로 안과 진료를 받아 보십시오."
아기가 한쪽만 봅니다. 왜 그러는 거죠?,아기들은 환한 빛을 따라보거나 보고 싶어하는 쪽만 보는 경향이 있습니다. 그러나 다른 쪽을 돌리려해도 움직임에 제한이 있다면 사경인지 확인해봐야 합니다.
"아기가 손, 다리, 턱을 떨어요.정상인가요?","신생아들은 반사 신경이 발달되어 있어 손, 다리, 턱을 떨 수 있습니다. 보통 떠는 부위를 손으로 잡으면 멈추는 것이 정상이지만 잡아도 멈추지 않고 계속 “까딱 까딱”  리듬있는 반복적인 움직임이 있으면 경기를 하는 것일 수 있으므로 진료를 보셔야 합니다."
여자아기인데 질쪽에서 하얀 분비물과 피가 나옵니다.,신생아는 엄마의 호르몬의 영향으로 하얀 분비물과 가성 월경이 있을 수 있고 수주 후에 사라 집니다. 그러나 혈액량이 갑자기 많아 진다면 진료를 보시기 바랍니다.
아기가 대변을 하루에 한 번씩 보지 않아요. 변비인가요?,"변보는 시간과 횟수는 아이마다 다를 수 있습니다. 신생아 시기엔 정상 대변 횟수는 하루 0-7회 정도로 매우 다양합니다. 모유수유아는 초기에 소량 묽은 변을 자주 보다가 2-3주후 부터는 빈도가 훨씬 감소되어 부드러운 변을 보고, 분유 수유 중인 신생아는 출생 후 첫 1-2주사이에 한번도 대변을 보지 않다가 이후로 정상적인 부드러운 변을 볼 수도 있습니다. 그러나 아기가 잘 먹지 않고 힘을 주면서 보챈다면 진료가 필요 합니다."
유산균은 반드시 먹여야 하나요?,"아닙니다. 현재까지 연구에서는 아토피피부염, 괴사성장염 등에서 효과가 있는 것으로 알려져 있습니다."
눈꼽이 자주낍니다. 어떻게 해야 하나요?,신생아는 눈물이 흡수되는 관이 부분적으로 막히고 1-2세까지 반복하므로 눈꼽이 반복적으로 소량씩 생길수 있습니다. 눈꼽은 깨끗한 거즈로 닦아주시거나 세수 하듯이 닦아주시면 됩니다. 그리고 눈과 코 사이를 눌려서 마사지를 해 주시면 도움이 됩니다. 충혈이 생기거나 눈꼽이 고름처럼 갑자기 증가하면 안약 처방이 필요할 수 있어 진료가 필요합니다.
신생아에게 물이나 보리차를 먹여도 될까요?,"네, 먹이시는 건 문제가 없습니다만 혹여 배가 차서 분유나 모유를 덜 먹을 수 있습니다. 일부러 먹이실 필요는 없고 혹시 딸꾹질을 심하게 하거나 이유식 시기에나 여름철 땀을 많이 흘렸을 경우엔 먹이셔도 됩니다."
귀에서 냄새가 나요?,다른 증상 없이 냄새가 나는 것이면 한쪽으로 계속 누워 있을 시에 통풍이 되지 않기 때문에 냄새가 날 수 있습니다. 하지만 노란 진물이 흘러 나오거나 감기 증상이 있는 경우에는 진료가 필요합니다.
재채기를 자주하는데 감기인가요?,아닙니다. 신생아에서는 코로 주로 숨쉬기 때문에 정상적으로 재채기를 많이 합니다.
"큰아이가 수족구, 수두, 홍역, 감기일때 신생아는 같이 있어도 되나요?",안됩니다. 옮길 수 있기 때문에 따로 있는 것이 좋고 질환이 있는 아이는 손을 잘 씻습니다. 그러나 여건상 같이 있을 경우엔 아기와 접촉을 하지 않게 하시고 손씻기를 잘하고 아기의 상태를 확인하시기 바랍니다.
배꼽이 뛰어 나온 것은 괜찮나요?,배꼽탈장은 시간이 지나면서 보통 1-2세 사이에 좋아지지만 1-2세 사이에도 크기가 커지(밤알크기)거나 색깔이 변하거나 3-4세까지 있다면 진료가 필요합니다.
허벅지 주름이 달라요?,간혹 양쪽 다리 뒤쪽 주름의 위치가 다르면 고관절 탈구일 가능성이 있어 진료가 필요합니다.
열이 나면 해열제 먹여도 되는지 궁금합니다.,"열이 나면 해열제를 먹여도 되지만, 열이 나는 원인을 알아야 하기 때문에 진료가 필요합니다."
6개월까지 엄마한테 받은 항체로 감기에 안걸리나요?,아닙니다. 주의에 감기 걸리신 분이 있을 경우 아기에게 옮길 수 있으므로 주의하셔야 하고 마스크와 손씻기를 잘 해야 합니다.
코가 자주 막히는데 감기인걸까요?,아기들은 코안의 길이 좁고 정상적으로 점액이 지속적으로 생기므로 “그렁그렁” 또는 “킁킁” 요란하게 소리가 나고 막히면 답답해하고 먹거나 잘 때 짜증을 낼 수 있습니다. 아기가 너무 불편할 경우 생리식염수를 자주 넣어 주면 도움이 됩니다. 그러나 아기가 투명한 콧물이 흐르거나 기침하면서 코막힘 증상이 심하면 감기가 의심됨으로 진료가 필요합니다.
콧물이 생기면 빼는 기구를 사용해도 될까요?,"신생아는 코를 자주 빼주면 코 점막이 붓고, 코가 더 날 수 있으므로 아기가 못먹을 정도로 힘들어 할때만  가끔 사용해 주시면 도움이 됩니다."
"눈동자에 먼지, 눈썹, 머리카락이 들어갔는데 어떻게 해야 하나요?","아기가 울 때 대부분 나오지만, 계속 보이면 빼야 하기 때문에 안과 진료를 권합니다."
손 빠는건 놔 둬도 되는지요?,"생후 6개월 이전에는 아기들의 빠는 욕구가 상대적으로 높은 편인데, 이 시기에는 공갈 젖꼭지를 물려 빠는 욕구를 충족시켜 주어 손가락 빠는 것을 줄일 수 있습니다. 하지만 생후 4-6주 이전에 아기에게 사용시 모유 먹는 아이라면 유두 혼동이 생길 수 있어 모유 수유 양이 줄 수 있으므로 신중해야 합니다. 집중적으로 한손 가락만 빨경우엔  주의 깊게 보시기 바랍니다. 손가락의 상처가 나거나 잠을 못잘정도로 빤다면 조치가 필요 합니다."
언제까지 속싸개를 사용하나요?,시기가 정해져 있지 않습니다. 아기에게 맞혀 주시면 됩니다.
베개는 사용해야 하는 건가요?,아기에게 맞는 높이로 사용하시고 너무 푹신하여 머리가 파뭍히는 것은 피하십시오.  특히 엎드려잘 때 주의 깊게 관찰하세요.
앞쪽 숨구멍(대천문)은 언제쯤 닫히나요?,11개월 이후에 닫히기 시작해서 1년에서 1년6개월에 뼈가 완전히 결합되어 없어집니다.
연어반은 계속 남는 건가요?,보통 목뒷쪽과 이마 부위에 흔하게 생겨 있으며 눈꺼풀의 연어반은 1-2세 후 대부분 사라집니다. 그러나 목 뒤 연어반은 비교적 오래 지속되고 약 50%는 소실되지 않으나 실제 레이저 치료가 필요한 예는 거의 없습니다.
딸기혈관종(모세혈관종)은 언제 없어지나요?,출생시 또는 출생 후 1주이내에 발생하여 수개월간 또는 1년 정도까지 커지다가 이후 점차  소실됩니다. 자연 퇴축 비율은 5-7세경까지 75-95%이며 크기가 줄지 않고 있다면 피부과 상담을 받아 보시는게 좋겠습니다.
기저귀 발진이 생겼어요?,"물로 씻기고 잘 말려주세요 기저기 발진 크림 약국에서 구입 가능하지만, 발진이 심하면 진료를 먼저 보시는 것이 좋습니다."
기저귀 발진에 분을(파우더) 사용해도 될까요?,권장하지 않습니다. 피부가 통풍이 잘 안되어 발진을 오히려 심하게 하고 미세가루가 날려 아기의 폐로 들어갈 수 있습니다. 시중에 있는 발진 크림을 사용하시기 바랍니다.
이개누공 관리는 어떻게 하나요?,귓 바퀴 앞쪽에 구멍이 있는 것을 말합니다. 보통은 문제가 없지만 구멍의 주위가 빨갛게 부어 있거나 분비물이 나오면 진료가 필요합니다.
아기의 젖꼭지가 들어가 있습니다. 짜도 되나요?,"안됩니다. 잘못 짜게되면 상처가 생겨 염증이 생길 수 있으므로 그냥 놔두시면 됩니다. 신생아시기에는 주위 결체조직이 미숙하여 들어가 있으나, 사춘기 전후로 나오게 되므로 관찰하셔도 됩니다."
신생아인데요. 얼굴과 코에 깨뿌린것 처럼 하얗게 난 것은 무엇인가요?,신생아 들의 특징적으로 생기는 미립종입니다. 자연적으로 없어지니 그냥 두시면 됩니다.
신생아는 밤에 잘 때 형광등을 밝게 켜놓는 것이 좋은가요? 조명등을 사용하는 것이 좋은가요?,형광등은 황달이 있는 경우 광선치료의 효과가 미약하게 있을 수 있으나 황달이 경미하거나 없는 신생아를 일부러 잘 때 형광등을 켜고 잘 필요는 없습니다. 잘 때는 수면등 정도의 약한 등을 구석에 두는 정도의 조명은 할 수 있겠습니다.
"장거리 여행은 언제부터 가능 한가요? 몇 시간까지 가능한가요? 또 대중 수영장, 목욕탕등 언제부터 가능 한가요?",100일전까지는 열이 날 경우 85%는 감기처럼 지나가는 감염이지만 15% 는 뇌수막염 등 중한 감염이 가능하여 항상 주의를 요합니다. 따라서 가능하면 사람이 많은 곳이나 장시간 외출은 삼가하는 것이 좋습니다. 여행 시간이 정해진 것은 없으나 아이들도 장시간 여행은 피로할 수 있고 감기 등 감염도 걸릴 수 있으므로 장시간 여행은 삼가하거나 아이 컨디션을 고려해야 합니다. 워터파크나 목욕탕은 많은 사람이 사용하는 곳이므로 물이 오염된 물에 감염되는 경우도 있을 수 있으니 주의하는 것이 좋겠습니다.
비행기는 타도 되나요? 주의 할 점은 무엇인가요?,비행기는 탈 수 있으나 이륙시 생기는 기압차는 수유를 하면 어른들이 침을 삼키는 것과 같은 효과를 볼 수 있습니다.
아이도 멀미를 할 수 있나요?,차를 탄 경우에만 구토를 한다면 의심해 볼 수 있겠고 아이들도 장시간 여행은 피로할 수 있고 감기 등 감염에도 아이 컨디션에 따라서 구토 등의 증상도 가능하겠습니다. 하지만 설사를 동반하면서 구토한다면 장염증상으로도 가능하므로 진료가 필요합니다.
여행시 비상약은 어떤 종류를 준비 해야 하나요?,"약국에서 처방전 없이 구매할 수 있는 해열제를 구비하면 되겠습니다. 감기 등의 증상이 있는 경우 여행 전에 컨디션을 고려하여 스케줄을 정하시고, 여행 시 에는 기존에 복용하던 약을 처방 받아 복용하고, 증상이 지속되거나 악화 시 에는 여행지에서 추가로 진료를 받는 것이 좋겠습니다."
